,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.566,0.713,6,-4.25,1,0.0417,0.645,0.0,0.114,0.807,169.864,audio_features,4dGJf1SER1T6ooX46vwzRB,spotify:track:4dGJf1SER1T6ooX46vwzRB,https://api.spotify.com/v1/tracks/4dGJf1SER1T6ooX46vwzRB,https://api.spotify.com/v1/audio-analysis/4dGJf1SER1T6ooX46vwzRB,238147,4
1,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,audio_features,5kNe7PE09d6Kvw5pAsx23n,spotify:track:5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/tracks/5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/audio-analysis/5kNe7PE09d6Kvw5pAsx23n,227427,4
2,0.523,0.666,7,-4.081,0,0.0328,0.401,0.0,0.0726,0.562,78.075,audio_features,2tUJbvjNznjNZfCeKtkhGm,spotify:track:2tUJbvjNznjNZfCeKtkhGm,https://api.spotify.com/v1/tracks/2tUJbvjNznjNZfCeKtkhGm,https://api.spotify.com/v1/audio-analysis/2tUJbvjNznjNZfCeKtkhGm,194760,4
3,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,audio_features,1DA7FEKgQeyRPtU44L5DOf,spotify:track:1DA7FEKgQeyRPtU44L5DOf,https://api.spotify.com/v1/tracks/1DA7FEKgQeyRPtU44L5DOf,https://api.spotify.com/v1/audio-analysis/1DA7FEKgQeyRPtU44L5DOf,226200,4
4,0.661,0.75,7,-5.497,1,0.0314,0.0303,0.000132,0.0846,0.828,130.077,audio_features,2JGUcpSLhxxruwkqQfBhAl,spotify:track:2JGUcpSLhxxruwkqQfBhAl,https://api.spotify.com/v1/tracks/2JGUcpSLhxxruwkqQfBhAl,https://api.spotify.com/v1/audio-analysis/2JGUcpSLhxxruwkqQfBhAl,157573,4
5,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.006,audio_features,1HXy5I3HTWq8OvxCn0z7G7,spotify:track:1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/tracks/1HXy5I3HTWq8OvxCn0z7G7,https://api.spotify.com/v1/audio-analysis/1HXy5I3HTWq8OvxCn0z7G7,179507,4
6,0.333,0.412,3,-8.633,1,0.029,0.0977,0.0,0.112,0.474,85.028,audio_features,2mNunIwTYWrNEYgWYrj97p,spotify:track:2mNunIwTYWrNEYgWYrj97p,https://api.spotify.com/v1/tracks/2mNunIwTYWrNEYgWYrj97p,https://api.spotify.com/v1/audio-analysis/2mNunIwTYWrNEYgWYrj97p,206227,4
7,0.634,0.862,2,-5.337,1,0.0376,0.0287,0.0,0.0217,0.767,95.989,audio_features,1zWZvrk13cL8Sl3VLeG57F,spotify:track:1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/tracks/1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/audio-analysis/1zWZvrk13cL8Sl3VLeG57F,227693,4
8,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,audio_features,1mMLMZYXkMueg65jRRWG1l,spotify:track:1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/tracks/1mMLMZYXkMueg65jRRWG1l,https://api.spotify.com/v1/audio-analysis/1mMLMZYXkMueg65jRRWG1l,240760,4
9,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,audio_features,6foY66mWZN0pSRjZ408c00,spotify:track:6foY66mWZN0pSRjZ408c00,https://api.spotify.com/v1/tracks/6foY66mWZN0pSRjZ408c00,https://api.spotify.com/v1/audio-analysis/6foY66mWZN0pSRjZ408c00,234347,4
10,0.683,0.796,11,-4.179,1,0.0285,0.111,0.0,0.197,0.531,90.031,audio_features,7f08qp3HROTkfrtNpiYGGo,spotify:track:7f08qp3HROTkfrtNpiYGGo,https://api.spotify.com/v1/tracks/7f08qp3HROTkfrtNpiYGGo,https://api.spotify.com/v1/audio-analysis/7f08qp3HROTkfrtNpiYGGo,201893,4
11,0.707,0.576,11,-9.088,1,0.0306,0.0614,0.0,0.372,0.947,99.984,audio_features,6uM7OpVi118yOoCrkyY4eX,spotify:track:6uM7OpVi118yOoCrkyY4eX,https://api.spotify.com/v1/tracks/6uM7OpVi118yOoCrkyY4eX,https://api.spotify.com/v1/audio-analysis/6uM7OpVi118yOoCrkyY4eX,214165,4
12,0.616,0.438,1,-5.968,1,0.0298,0.356,0.0,0.24,0.386,135.929,audio_features,3GJ4hzg4lrGwU51Y3VARbF,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,https://api.spotify.com/v1/tracks/3GJ4hzg4lrGwU51Y3VARbF,https://api.spotify.com/v1/audio-analysis/3GJ4hzg4lrGwU51Y3VARbF,213387,4
